ID_da_instituicao	Ano	Publicacoes
JLDY00000007	2011	22
063400000006	2014	1
169700000007	2015	74
169700000007	2011	92
169700000007	2010	92
884900000009	2015	24
884900000009	2012	20
884900000009	2010	17
024700000000	2014	34
024700000000	2011	63
J1D700000002	2012	8
J1D700000002	2011	7
000100000002	2011	111
579200000000	2010	4
529700000003	2010	9
061500000001	2013	20
061500000001	2012	17
061500000001	2011	30
J1RB00000004	2015	5
J1RB00000004	2014	3
000700000992	2011	131
179800000006	2010	16
072300000003	2015	2
119300000003	2012	116
016700000000	2015	136
653900000006	2013	15
087000000006	2013	113
408900000008	2015	113
408900000008	2014	109
408900000008	2012	115
408900000008	2011	143
408900000008	2010	92
J8LU00000004	2013	100
J22Z00000008	2012	4
002900000003	2012	29
282200000001	2012	1
0Y1Y00000005	2010	3
001100000990	2011	72
446900000000	2013	109
554300000007	2014	61
554300000007	2013	74
554300000007	2012	64
119300000003	2011	108
930846000007	2015	1
930846000007	2014	4
930846000007	2013	1
066900000000	2013	88
066900000000	2012	55
001100000990	2015	56
000900000996	2014	69
080400000006	2013	211
554300000007	2015	50
554300000007	2011	71
554300000007	2010	138
087900000002	2010	52
038400000005	2013	101
107400000001	2015	41
107400000001	2014	46
107400000001	2013	46
107400000001	2012	104
107400000001	2011	49
107400000001	2010	49
081100000009	2013	72
000600000990	2011	122
J7D500000002	2011	5
119300000003	2013	106
107000000004	2015	35
107000000004	2011	25
021100000005	2015	103
003100000996	2015	40
003100000996	2014	5
003100000996	2012	3
003100000996	2011	44
003100000996	2010	3
117800000006	2012	83
626000000002	2013	13
626000000002	2012	9
626000000002	2011	10
032100000000	2015	105
032100000000	2014	67
016700000000	2014	133
016700000000	2012	125
J3UC00000003	2014	31
J3UC00000003	2012	43
J3UC00000003	2010	38
506700000004	2015	48
506700000004	2012	36
IVM800000000	2010	6
930820000000	2013	14
J41C00000009	2013	35
J41C00000009	2012	18
J41C00000009	2010	37
038400000005	2014	106
286700000003	2011	17
J8E800000003	2014	46
J8E800000003	2013	13
J8E800000003	2011	33
J8E800000003	2010	12
001700000990	2011	27
002300000991	2011	9
047700000000	2012	17
047700000000	2011	15
104100000001	2013	17
104100000001	2010	12
661500000000	2012	22
J8LH00000007	2011	4
J8LH00000007	2010	2
J4D600000002	2011	30
033800000001	2012	108
001900000005	2015	35
001900000005	2013	23
001900000005	2012	32
001900000005	2010	55
039000000006	2012	10
J3UC00000003	2011	42
183300000005	2011	111
363100000000	2015	69
363100000000	2014	71
363100000000	2013	81
001300000993	2013	58
IZEO00000008	2010	31
IZVG00000007	2015	2
IZVG00000007	2014	4
IZVG00000007	2013	4
IZVG00000007	2012	5
IZVG00000007	2011	3
IZVG00000007	2010	1
004700000006	2010	27
000600000990	2015	102
000600000990	2010	122
065800000000	2015	58
065800000000	2011	135
438300000009	2014	79
438300000009	2011	5
J7AC00000002	2013	3
J7AC00000002	2012	2
033800000001	2015	165
IYIC00000000	2015	13
IYIC00000000	2013	18
IYIC00000000	2012	16
IYIC00000000	2010	17
066900000000	2015	15
066900000000	2011	36
985600042509	2015	7
985600042509	2014	6
985600042509	2011	9
985600042509	2010	8
008800000000	2015	12
008800000000	2013	11
008800000000	2011	10
008800000000	2010	6
001100000990	2013	68
066300000009	2012	10
001700000001	2015	36
001700000001	2014	55
001700000001	2011	40
001700000001	2010	32
001700000001	2012	41
000700000992	2015	132
JNI100000007	2012	4
JNI100000007	2010	5
423400000002	2011	14
003200000009	2010	23
670900000006	2013	3
670900000006	2012	2
670900000006	2011	2
670900000006	2010	1
410300000009	2015	82
410300000009	2011	55
IX7W00000004	2014	2
IX7W00000004	2012	2
IX7W00000004	2010	2
807700000001	2010	29
567100000005	2012	7
567100000005	2011	4
120600000002	2011	20
120600000002	2010	18
001000000998	2013	92
045100000002	2013	7
119300000003	2015	102
119300000003	2014	105
308200000009	2012	22
308200000009	2011	27
J8M600000003	2012	2
985606497095	2012	2
985606497095	2010	6
506700000004	2013	39
506700000004	2010	34
408900000008	2013	116
425400000009	2015	2
425400000009	2013	3
425400000009	2011	7
021100000005	2014	93
189500000008	2015	16
008400000003	2013	135
002200000990	2014	24
831200000005	2015	37
831200000005	2014	28
831200000005	2013	21
831200000005	2012	29
831200000005	2011	31
831200000005	2010	28
528700000005	2015	14
F3V900000009	2013	44
F3V900000009	2012	49
342900000001	2015	23
342900000001	2013	23
342900000001	2012	16
342900000001	2011	25
342900000001	2010	21
985600146169	2011	2
985600146169	2010	2
577000000000	2010	30
010400000005	2015	58
010400000005	2013	31
119300000003	2010	104
584200000007	2012	50
173400000000	2014	16
173400000000	2013	21
173400000000	2012	23
173400000000	2010	10
778500000000	2013	67
567200000007	2015	35
001100000990	2012	61
034300000000	2011	5
034300000000	2010	10
511300000003	2015	104
511300000003	2013	108
002800000001	2014	77
985600042380	2013	12
000200000004	2015	82
000200000004	2011	100
584200000007	2013	116
096800000000	2014	6
047500000006	2015	17
350700000009	2012	31
350700000009	2010	26
891200000009	2015	34
891200000009	2014	34
891200000009	2013	30
891200000009	2012	29
891200000009	2011	39
002900000003	2013	104
002900000003	2011	25
584200000007	2015	33
879000000006	2012	2
879000000006	2010	2
446900000000	2011	161
009800000009	2013	17
009800000009	2010	14
363100000000	2010	76
586600000000	2013	15
553800000008	2010	78
402100000004	2010	1
021700000006	2015	65
021700000006	2012	55
038400000005	2015	132
066900000000	2014	21
066900000000	2010	26
061900000009	2010	1
172000000004	2014	37
J8LU00000004	2011	98
529700000003	2014	10
529700000003	2013	11
528700000005	2011	15
J0S900000000	2015	7
J0S900000000	2012	2
J0S900000000	2011	3
J0S900000000	2010	2
460900000006	2015	56
870100000004	2011	75
567200000007	2011	41
001500000997	2011	45
985601000990	2014	63
281500000009	2013	22
012800000009	2015	18
012800000009	2014	17
012800000009	2013	18
012800000009	2012	16
012800000009	2011	18
012800000009	2010	24
461400000005	2015	5
461400000005	2013	8
553800000008	2015	89
553800000008	2014	109
553800000008	2012	96
009800000009	2011	14
008200000000	2015	117
008200000000	2012	124
001000000998	2015	56
001000000998	2014	66
001000000998	2011	75
001000000998	2010	74
IV0N00000004	2015	2
IV0N00000004	2014	1
001200000991	2013	60
001200000991	2012	66
292900000001	2015	3
292900000001	2014	5
292900000001	2013	1
292900000001	2012	4
292900000001	2010	3
985600701928	2014	1
047700000000	2013	23
117700000004	2015	26
117700000004	2014	23
117700000004	2013	28
117700000004	2011	25
505800000008	2011	27
505800000008	2010	35
013200000006	2010	1
J1HP00000001	2015	115
J1HP00000001	2013	50
006900000006	2015	9
006900000006	2014	12
006900000006	2013	10
006900000006	2011	12
033100000009	2011	169
J4VT00000001	2010	3
J9QN00000008	2014	1
833700000000	2013	29
025500000005	2010	17
001400000006	2014	27
001400000006	2012	20
013100000004	2012	4
013100000004	2011	11
IWBX00000000	2010	2
154600000007	2014	19
154600000007	2012	31
154600000007	2011	28
985601226530	2015	3
985601226530	2010	4
057200000008	2014	13
057200000008	2012	14
287000000009	2015	2
024800000002	2012	35
J1SS00000005	2012	57
J08S00000008	2011	2
117800000006	2015	61
117800000006	2014	63
117800000006	2011	57
583900000001	2010	15
017500000004	2014	6
089100000004	2015	37
089100000004	2014	31
558800000009	2010	17
023200000003	2015	5
023200000003	2014	9
023200000003	2013	10
023200000003	2012	14
023200000003	2011	13
023200000003	2010	11
870400000000	2012	61
028200000004	2012	96
028200000004	2011	87
028700000003	2015	31
288200000000	2013	21
309500000002	2015	43
001700000001	2013	112
044900000009	2013	3
104300000005	2015	3
104300000005	2013	7
104300000005	2011	9
104300000005	2010	8
062200000004	2014	39
062200000004	2012	41
426500000009	2010	11
754000000004	2014	34
J01Z00000005	2012	12
775300000002	2014	6
775300000002	2013	7
775300000002	2012	5
340900000005	2013	21
778500000000	2014	62
778500000000	2012	52
778500000000	2010	58
117200000005	2015	12
117200000005	2014	11
117200000005	2013	8
117200000005	2012	15
117200000005	2011	3
023600000000	2012	15
577300000006	2013	70
J1OR00000000	2012	29
246300000007	2015	53
246300000007	2014	68
246300000007	2013	72
246300000007	2012	68
246300000007	2011	65
246300000007	2010	52
001200000002	2013	9
001200000002	2010	8
IXU200000007	2011	1
JAUL00000000	2012	2
226100000009	2012	26
004400000000	2010	162
002200000000	2010	8
051600000006	2011	20
051600000006	2010	37
290200000002	2014	1
290200000002	2013	1
065800000000	2014	73
001400000995	2015	55
