ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
002800000001	UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI CAMPUS JK	31010	3103	31	16	1	6	9	14	6	4	2	1	9	3	15	0	86
768700000007	HOSPITAL SIRIO LIBANES	35061	3515	35	0	0	14	0	0	1	0	5	0	3	0	4	0	27
520900000003	INSTITUTO FEDERAL DO TRIANGULO MINEIRO	31018	3105	31	3	1	2	1	1	0	1	0	0	2	0	2	2	15
000900000007	UNIVERSIDADE DO VALE DO RIO DOS SINOS	43026	4305	43	14	1	4	7	0	5	4	1	2	1	1	8	14	62
294800000006	UNIVERSIDADE ESTACIO DE SA	33018	3306	33	2	0	2	2	0	0	0	1	0	1	0	5	1	14
125200000006	UNIVERSIDADE DO EXTREMO SUL CATARINENSE	42019	4206	42	5	2	13	4	10	1	1	7	0	3	0	8	3	57
IXXU00000008	INSTITUTO FEDERAL DE SAO PAULO	35005	3501	35	8	4	2	14	13	2	9	1	0	3	6	5	4	71
754000000004	UNIVERSIDADE FEDERAL DE RONDONIA	11003	1102	11	10	1	2	6	7	1	0	0	0	3	4	3	0	37
833700000000	UNIVERSIDADE DO ESTADO DE MINAS GERAIS	31030	3107	31	5	1	2	3	5	0	2	1	0	1	0	3	1	24
008300000001	UNIVERSIDADE FEDERAL DA PARAIBA	25015	2503	25	28	8	27	19	19	2	13	10	0	16	17	22	20	201
