Ano	ID_do_estado	Nome_do_estado	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2014	33	Rio de Janeiro	2841314.0	171683730.0	301915181.0	102898610.0	579338824.0	91744888.0	671076847.0	16461173.0	3522474.7500000005
2014	35	São Paulo	27335100.0	341738687.0	1032873135.0	150925996.0	1552872897.0	305325398.0	1858196059.0	44035304.0	17898190.580000002
2014	41	Paraná	28599811.0	75758467.0	156145614.0	40602803.0	301106708.0	46977494.0	348084197.0	11081692.0	9550102.060000012
2014	42	Santa Catarina	12676374.0	62122646.0	103567167.0	26466106.0	204832297.0	37721068.0	242553374.0	6727148.0	8285854.630000002
2014	43	Rio Grande do Sul	28904543.0	72455166.0	163249966.0	45317470.0	309927140.0	47889284.0	357816431.0	11207274.0	14055025.929999998
2014	50	Mato Grosso do Sul	12195265.0	15220133.0	30331929.0	12625288.0	70372612.0	8577515.0	78950135.0	2619657.0	2414152.5
2014	51	Mato Grosso	19080401.0	15824598.0	41243639.0	14662761.0	90811402.0	10423121.0	101234522.0	3224357.0	4204643.499999999
2014	52	Goiás	15645243.0	34823316.0	73155668.0	22936114.0	146560349.0	18454976.0	165015307.0	6523222.0	5477802.579999999
2014	53	Distrito Federal	770068	11346922	85358921	73725856	171201766	26230293	197432059	2852372	69216.80
2015	11	Rondônia	4353055.0	6038962.0	13123071.0	9058485.0	32573581.0	3989256.0	36562837.0	1768204.0	877627.33
2015	12	Acre	1345997.0	1248772.0	5309740.0	4538141.0	12442648.0	1179677.0	13622324.0	803513.0	282553.74000000005
2015	13	Amazonas	5786334.0	24229868.0	28112755.0	14558133.0	72687092.0	13876217.0	86560496.0	3938336.0	599524.09
2015	14	Roraima	627881.0	900120.0	3461323.0	4563567.0	9552891.0	801463.0	10354355.0	505665.0	231710.80000000002
2015	15	Pará	14484595.0	33185468.0	44834552.0	25791795.0	118296410.0	12587024.0	130883425.0	8206923.0	1781551.91
2015	16	Amapá	269316.0	1657725.0	5334018.0	5629655.0	12890708.0	970493.0	13861202.0	766679.0	252950.94000000006
2015	17	Tocantins	3415288.0	3819562.0	11078081.0	7982371.0	26295286.0	2634772.0	28930063.0	1515126.0	2162463.85
2015	21	Maranhão	7241495.0	13709569.0	30615464.0	18288161.0	69854699.0	8620467.0	78475163.0	6904241.0	1777354.8000000003
2015	22	Piauí	2733549.0	4751955.0	15936704.0	11645452.0	35067640.0	4080788.0	39148433.0	3204028.0	1802272.979999999
2015	23	Ceará	5149444.0	22419172.0	59941717.0	27124077.0	114634400.0	15986388.0	130620790.0	8904459.0	1623648.1
2015	24	Rio Grande do Norte	1637591.0	10741699.0	23931629.0	14871851.0	51182780.0	6066983.0	57249753.0	3442175.0	1885913.0300000005
2015	25	Paraíba	1908271.0	8606903.0	22911373.0	16677402.0	50103944.0	6036452.0	56140394.0	3972202.0	1973471.2900000007
2015	26	Pernambuco	5213660.0	26895020.0	70389148.0	31993480.0	134491300.0	22464058.0	156955365.0	9345173.0	1878618.6300000008
2015	27	Alagoas	4863060.0	6430047.0	20328010.0	10636197.0	42257315.0	4106553.0	46363872.0	3340932.0	981995.54
2015	28	Sergipe	1730499.0	7849095.0	15348334.0	9578581.0	34506504.0	4047958.0	38554464.0	2242937.0	1006050.5499999995
2015	29	Bahia	17835806.0	47767551.0	106058641.0	44305300.0	215967286.0	29057566.0	245024858.0	15204342.0	4474734.1000000015
2015	31	Minas Gerais	24433753.0	119299539.0	234809673.0	78895186.0	457438163.0	61888201.0	519326343.0	20869101.0	13998220.96999999
