Ano	ID_da_microregiao	Nome_da_microregiao	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2010	25006	Itaporanga	42108.0	23326.0	103354.0	237182.0	405971.0	17684.0	423654.0	84041.0	53815.05
2010	25017	Campina Grande	93079.0	1319463.0	2230855.0	1332602.0	4976003.0	689249.0	5665249.0	502767.0	59272.42
2010	25018	Itabaiana	42511.0	40941.0	138378.0	291532.0	513361.0	24083.0	537445.0	108562.0	44173.060000000005
2010	25021	Sapé	68927.0	55681.0	160766.0	341254.0	626625.0	33534.0	660160.0	132743.0	43090.590000000004
2010	25008	Seridó Ocidental Paraibano	18942.0	20044.0	58722.0	113226.0	210933.0	10051.0	220985.0	39142.0	32770.68
2010	26017	Recife	136065.0	7879747.0	25306964.0	7365032.0	40687807.0	8470408.0	49158218.0	3256460.0	76023.34
2010	26003	Pajeú	99646.0	151954.0	632597.0	727093.0	1611291.0	172170.0	1783458.0	314642.0	77393.01999999999
2010	26005	Petrolina	737200.0	685950.0	1542314.0	1017683.0	3983147.0	455568.0	4438716.0	444091.0	56675.850000000006
2010	26012	Brejo Pernambucano	186842.0	59364.0	289608.0	527592.0	1063403.0	48051.0	1111454.0	216408.0	56882.840000000004
2010	26015	Mata Meridional Pernambucana	519133.0	478987.0	1060491.0	1332213.0	3390822.0	272962.0	3663787.0	559311.0	133646.84000000003
2010	26007	Vale do Ipanema	159635.0	25783.0	179343.0	414786.0	779548.0	32120.0	811669.0	179529.0	27727.199999999997
2010	26008	Vale do Ipojuca	406428.0	866907.0	2824146.0	1952848.0	6050328.0	820390.0	6870718.0	852263.0	96068.55
2010	26013	Mata Setentrional Pernambucana	625463.0	791276.0	1267813.0	1266205.0	3950759.0	354263.0	4305023.0	535743.0	133030.80000000002
2010	26011	Garanhuns	237429.0	227257.0	915747.0	1035309.0	2415740.0	220835.0	2636572.0	441931.0	90917.02999999998
2010	26016	Itamaracá	49693.0	688029.0	511289.0	376507.0	1625517.0	259180.0	1884697.0	166303.0	40341.31
2010	26001	Araripina	124859.0	195099.0	424940.0	686082.0	1430981.0	95628.0	1526608.0	307658.0	46960.850000000006
2010	26004	Sertão do Moxotó	122704.0	115251.0	404537.0	491860.0	1134354.0	98754.0	1233109.0	213417.0	36863.05
2010	26006	Itaparica	73174.0	719071.0	280247.0	347396.0	1419887.0	80918.0	1500804.0	134211.0	61284.97
2010	26010	Médio Capibaribe	188537.0	77352.0	380779.0	576980.0	1223647.0	68940.0	1292586.0	253339.0	49791.69
2010	26018	Suape	32215.0	4142557.0	2605981.0	781576.0	7562329.0	2265147.0	9827475.0	265665.0	90993.63
2010	26009	Alto Capibaribe	70600.0	290719.0	693893.0	605183.0	1660395.0	174067.0	1834461.0	273742.0	51635.96
2010	26002	Salgueiro	53937.0	463702.0	354275.0	377133.0	1249045.0	76539.0	1325586.0	162047.0	41334.66
2010	26014	Vitória de Santo Antão	138550.0	329627.0	695610.0	498071.0	1661857.0	265625.0	1927480.0	216643.0	32904.16
2010	26019	Fernando de Noronha	304	3101	44001	4227	51633	5698	57331	2629	21807.13
2010	27001	Serrana do Sertão Alagoano	51342.0	9580.0	62302.0	188398.0	311622.0	10632.0	322254.0	89474.0	18031.88
2010	27012	São Miguel dos Campos	656849.0	763862.0	504786.0	624755.0	2550251.0	167810.0	2718059.0	284488.0	80209.42
2010	27006	Arapiraca	413026.0	274650.0	1019472.0	854155.0	2561302.0	256200.0	2817502.0	410890.0	49880.55999999999
2010	27009	Mata Alagoana	510069.0	275167.0	325618.0	681470.0	1792323.0	78896.0	1871218.0	301552.0	98316.30000000002
2010	27011	Maceió	275056.0	2884241.0	6928597.0	2331649.0	12419545.0	2040497.0	14460039.0	1140596.0	87308.29
2010	27004	Batalha	67607.0	24771.0	97683.0	203241.0	393304.0	17856.0	411159.0	92352.0	36072.51
2010	27005	Palmeira dos Índios	111812.0	86974.0	262797.0	370894.0	832478.0	44885.0	877360.0	175213.0	48915.450000000004
2010	27003	Santana do Ipanema	65358.0	24364.0	200002.0	369703.0	659428.0	34003.0	693429.0	171286.0	37053.030000000006
2010	27008	Serrana dos Quilombos	373392.0	113406.0	213752.0	326486.0	1027037.0	58656.0	1085691.0	146640.0	55342.87999999999
2010	27002	Alagoana do Sertão do São Francisco	23093.0	114490.0	122146.0	178322.0	438051.0	28565.0	466616.0	79633.0	15194.550000000001
2010	27013	Penedo	204899.0	112166.0	219208.0	269440.0	805710.0	38487.0	844197.0	124552.0	40801.94
2010	27010	Litoral Norte Alagoano	132995.0	18920.0	117374.0	149388.0	418674.0	13978.0	432652.0	66859.0	31314.86
2010	27007	Traipu	25630.0	5695.0	17909.0	81277.0	130510.0	2348.0	132859.0	37387.0	11589.220000000001
